NPI,TITLE,FAB_PROD,RET_PROD,PRODUCT,LOT,EXEC_SEQ,OPERATION,OPER_SHORT_DESC,OPER_LONG_DESC,OUT_DATE,LOT_PRIORITY_MOVEIN,AREA,MODULE
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,412.0,182920,W 8ODSCB,W P1278 PST ODELL IMPL SCRUB,2025-07-30 00:30:27,2.0,WET ETCH,WE-DRTnc
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,413.0,243323,D*8DES2200,D*P1278 2200 Deschutes mPSP,2025-07-30 23:08:19,2.0,DIFFUSION,DI-SPAdi
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,414.0,216069,Z 8GSUIT2,Z P1278 GEN SUITCASE SPLIT EPITS 2,2025-07-30 23:08:19,,PC,LSA-FE
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,415.0,242467,D*8PSPOX,D*P1278 mPSP OXIDE DEP,2025-07-30 23:24:56,2.0,DIFFUSION,DI-ROXoo
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,416.0,213951,D*8PLY100,D*P1278 POLY DEPOSITION 1K,2025-07-31 17:38:33,2.0,DIFFUSION,DI-VFPdi
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,417.0,216070,Z 8GSUIT3,Z P1278 GEN SUITCASE SPLIT EPITS 3,2025-07-31 17:38:33,,PC,LSA-FE
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,418.0,201102,W 8JGRBGAN,W P1278 JGR BS GANGES REM,2025-07-31 18:28:18,2.0,WET ETCH,WE-JGRwe
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,419.0,242641,P*8ASPKPLI,P*P1278 A SPKL POLISH PLI,2025-07-31 18:57:28,2.0,PLANAR,PL-PLIsp
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,420.0,236731,P*8MASPE,P*P1278 mASi POLISH HORIZON PLI E,2025-07-31 19:33:24,2.0,PLANAR,PL-PLIps
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,421.0,253279,A-8 PGmPSP,A-P1278 mPSP PST GANGES POL THK,2025-07-31 19:51:47,2.0,ANALYTICAL,AN-KCD
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,422.0,205272,M-8PSPHL,M-P1278 PSP HELP,2025-07-31 19:51:47,,METRO,DM-TOH
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,423.0,189008,Z 8RNDIF17,Z P1278 RANDOMIZE IN FOUP 17,2025-07-31 20:12:40,2.0,PC,LSA-FE
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,424.0,234667,W 8 PSPCLa,W P1278 PSP Post clean a,2025-07-31 20:32:05,2.0,WET ETCH,WE-NSTwp
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,425.0,177445,Z 8PLYNTCH,Z P1278 PLY Notch Randomize In FOUP,2025-07-31 20:56:00,2.0,PC,LSA-FE
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,426.0,194296,D*8PLYHM1,D*P1278 PLY Nitride HM1,2025-07-31 21:39:18,2.0,DIFFUSION,DI-SATnf
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,427.0,194297,D*8PLYHM2,D*P1278 PLY Nitride HM2,2025-07-31 22:22:28,2.0,DIFFUSION,DI-SATnf
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,428.0,183375,T*8PLYoHM,T*P1278 PLY OXIDE HM,2025-07-31 23:10:05,2.0,THIN FILMS,TD-DVDnl
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,429.0,184142,E 8PLYBVLE,E P1278 PLY BEVEL ETCH,2025-07-31 23:21:37,2.0,ETCH,DE-BETnc
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,430.0,209699,M-8PLYWGT,M-P1278 WGT PLY SHAPE,2025-07-31 23:21:37,,METRO,DM-WGT
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,431.0,212146,M-8PLY IN,M-P1278 TC2 PRE PLY LITHO INSPECT,2025-07-31 23:21:37,,METRO,DM-MACRO
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,432.0,243696,M-8PLY RE,M-P1278 TC2 PRE PLY LITHO REVIEW,2025-07-31 23:21:37,,METRO,DM-MACRO
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,433.0,212147,M-8PLYDIS,M-P1278 TC2 PRE PLY LITHO ORL DISPO,2025-07-31 23:21:38,,METRO,DM-DEF-MET
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,434.0,177401,L 8PLYu CH,L P1278 PLY u CARBON HARDMASK DEP,2025-07-31 23:29:40,2.0,LITHO,LI-TBEbc
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,435.0,183845,Z 8PLYCVRF,Z P1278 PLY HTCHM VERIFY WFR TO LOT,2025-07-31 23:29:40,,PC,LSA-FE
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,436.0,183447,D*8PLYHCR,D*P1278 PLY HTCHM O2XTA CURE,2025-08-01 00:12:24,2.0,DIFFUSION,DI-XTAdi
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,437.0,186303,I*8PLYiCH,I*P1278 PLY CHM CURE,2025-08-01 00:40:38,2.0,IMPLANT,IM-VIMhc
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,438.0,183846,Z 8PLYVRFI,Z P1278 PLY CHM CUR IMPLNT VRFY WFR,2025-08-01 00:40:38,,PC,LSA-FE
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,439.0,144082,W 8PLPLSCB,W P1278 PRE PLP LITHO SCRUB,2025-08-01 00:46:35,2.0,WET ETCH,WE-DRTnc
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,440.0,177402,L 8PLYu SA,L P1278 PLY u SiARC DEP,2025-08-01 00:54:07,2.0,LITHO,LI-TBEbc
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,441.0,224463,M-8PLY BC,M-P1278 PLY BARC DEFECT INSPECT,2025-08-01 00:54:07,,METRO,DM-MACRO
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,442.0,224274,L-8PLY BC,L-P1278 PLY BARC DEFECT CLASSIFY,2025-08-01 00:54:07,,LITHO,LI-CLF
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,443.0,257029,L 8PLYrSE,"L P1278 PLY r SED (DNU,DPR)",2025-08-01 06:56:50,2.0,LITHO,LI-SAYli
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,444.0,206989,L-8PLYbDO,L-P1278 b PLY DCCD OCD MEASURE,2025-08-01 06:56:50,,LITHO,LI-OCDlj
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,445.0,143585,Z 8PLY VRF,Z P1278 POLY VERIFY WFR TO LOT ACCR,2025-08-01 06:56:50,,PC,LSA-FE
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,446.0,224464,M-8PLY DC,M-P1278 PLY DEFECT INSPECT,2025-08-01 06:56:50,,METRO,DM-MACRO
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,447.0,204087,L-8PLYbaCD,L-P1278 PLY ba DCCD MEASURE,2025-08-01 07:03:30,2.0,LITHO,LI-SEMli
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,448.0,257038,L-8PLYrR,"L-P1278 r PLY REG (DNU,DPR)",2025-08-01 07:15:07,2.0,LITHO,LI-REGfe
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,449.0,262873,E 8PLYRWOa,E P1278 PLY RWK GTA ETCH FE,2025-08-01 07:30:09,2.0,ETCH,DE-GTArk
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,450.0,262714,E 8PLYRWKb,E P1278 PLY RWK APT b ASH,2025-08-01 07:41:53,2.0,ETCH,DE-APTde
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,451.0,264315,W 8PLYRWK4,W P1278 PLY RWK CLEAN4,2025-08-01 07:58:29,2.0,WET ETCH,WE-NSTwp
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,452.0,177401,L 8PLYu CH,L P1278 PLY u CARBON HARDMASK DEP,2025-08-01 08:26:02,2.0,LITHO,LI-TBEbc
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,453.0,183845,Z 8PLYCVRF,Z P1278 PLY HTCHM VERIFY WFR TO LOT,2025-08-01 08:26:02,,PC,LSA-FE
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,454.0,183447,D*8PLYHCR,D*P1278 PLY HTCHM O2XTA CURE,2025-08-01 08:56:21,2.0,DIFFUSION,DI-XTAdi
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,455.0,186303,I*8PLYiCH,I*P1278 PLY CHM CURE,2025-08-01 09:12:36,2.0,IMPLANT,IM-VIMhc
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,456.0,183846,Z 8PLYVRFI,Z P1278 PLY CHM CUR IMPLNT VRFY WFR,2025-08-01 09:12:36,,PC,LSA-FE
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,457.0,144082,W 8PLPLSCB,W P1278 PRE PLP LITHO SCRUB,2025-08-01 09:19:07,2.0,WET ETCH,WE-DRTnc
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,458.0,177402,L 8PLYu SA,L P1278 PLY u SiARC DEP,2025-08-01 09:30:02,2.0,LITHO,LI-TBEbc
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,459.0,224463,M-8PLY BC,M-P1278 PLY BARC DEFECT INSPECT,2025-08-01 09:30:02,,METRO,DM-MACRO
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,460.0,224274,L-8PLY BC,L-P1278 PLY BARC DEFECT CLASSIFY,2025-08-01 09:30:02,,LITHO,LI-CLF
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,461.0,257029,L 8PLYrSE,"L P1278 PLY r SED (DNU,DPR)",2025-08-01 12:05:16,2.0,LITHO,LI-SAYli
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,462.0,206989,L-8PLYbDO,L-P1278 b PLY DCCD OCD MEASURE,2025-08-01 12:05:16,,LITHO,LI-OCDlj
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,463.0,143585,Z 8PLY VRF,Z P1278 POLY VERIFY WFR TO LOT ACCR,2025-08-01 12:05:16,,PC,LSA-FE
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,464.0,224464,M-8PLY DC,M-P1278 PLY DEFECT INSPECT,2025-08-01 12:05:16,,METRO,DM-MACRO
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,465.0,204087,L-8PLYbaCD,L-P1278 PLY ba DCCD MEASURE,2025-08-01 12:18:23,2.0,LITHO,LI-SEMli
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,466.0,257038,L-8PLYrR,"L-P1278 r PLY REG (DNU,DPR)",2025-08-01 12:27:34,2.0,LITHO,LI-REGfe
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,467.0,224275,L-8PLY DC,L-P1278 PLY DEFECT CLASSIFY,2025-08-01 12:27:34,,LITHO,LI-CLF
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,468.0,226748,E*8PLYHMEa,E*P1278 PLY TLE Ox Nit HM Etch a,2025-08-01 13:48:38,2.0,ETCH,DE-PATxa
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,469.0,145049,E 8PLPNHMA,E P1278 PLP NITRIDE HM ETCH PST ASH,2025-08-01 14:01:30,2.0,ETCH,DE-RCLde
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,470.0,261480,W 8 PHMECb,W P1278 PLY HME Post Clean b,2025-08-01 14:11:24,2.0,WET ETCH,WE-NSTwp
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,471.0,251263,E*8PLYOEA,E*P1278 LAT PLY OE etch A,2025-08-01 14:55:20,2.0,ETCH,DE-PGXxo
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,472.0,250136,W 8NPLYCLb,W P1278 No ODELL PLY ETCH CLEAN b,2025-08-01 15:11:40,2.0,WET ETCH,WE-NSTwp
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,473.0,254145,A-8PLYNCDj,A-P1278 PLYFC NCDj,2025-08-01 19:47:30,2.0,ANALYTICAL,AN-NCD
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,474.0,217536,L-8PLYbaZ,L-P1278 ba  PLY FOCD MEAS,2025-08-01 19:47:31,,LITHO,LI-OCDlj
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,475.0,217138,Z 8PLYFVFY,Z P1278 PLY FOCD VERIFY WFR,2025-08-01 19:47:31,,PC,LSA-FE
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,476.0,228474,L-8PLYbdFC,L-P1278 PLY bd FCCD MEASURE,2025-08-01 20:56:39,2.0,LITHO,LI-SEMli
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,477.0,211749,L-8PLY NE,L-P1278 PLY NZO AEI MEASURE,2025-08-01 20:56:39,,LITHO,LI-eOVli
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,478.0,143802,M-8PLYFC P,M-P1278 POST POLY FINAL CHECK API,2025-08-01 20:56:39,,METRO,DM-SRC6
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,479.0,143803,M-8PLYFC S,M-P1278 POST POLY FINAL CHECK SCAN,2025-08-01 23:05:38,2.0,METRO,DM-BPQP
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,480.0,143804,M-8PLYFC R,M-P1278 POST POLY FINAL CHECK RV,2025-08-01 23:30:07,2.0,METRO,DM-SRC6
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,481.0,143805,M-8PLYFC C,M-P1278 POST POLY FINAL CHECK CLASS,2025-08-01 23:45:02,2.0,METRO,DM-CLF
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,482.0,233240,M-8SCNDISP,M-P1278 SCAN OOC DISPOSITION,2025-08-02 01:00:47,2.0,METRO,DM-DEF-MET
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,483.0,231190,M-8PLYFC V,M-P1278 PLYFC LOGIC BLOCK,2025-08-02 01:01:08,2.0,METRO,DM-LOGIC
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,484.0,189009,Z 8RNDIF22,Z P1278 RANDOMIZE IN FOUP 22,2025-08-02 01:07:02,2.0,PC,LSA-FE
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,485.0,207026,T*8PRAbil,T*P1278 Bilayer Praet SP1D,2025-08-02 01:49:15,2.0,THIN FILMS,TD-SPKnc
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,486.0,260132,A-8PRADm,A-P1278 Praet SP1D m NMT,2025-08-02 02:07:46,2.0,ANALYTICAL,AN-NCD
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,487.0,215820,D*8STV9P,D*P1278 99+ STV dep,2025-08-02 10:43:24,2.0,DIFFUSION,DI-STVdi
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,488.0,189011,Z 8RNDIF24,Z P1278 RANDOMIZE IN FOUP 24,2025-08-02 10:50:08,2.0,PC,LSA-FE
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,489.0,260133,A-8S1DCRm,A-P1278 SP1D CorSi m NCD,2025-08-02 11:06:29,2.0,ANALYTICAL,AN-NCD
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,490.0,211035,D*8STLGAB1,D*P1278 STLTOE GALEA dep Bilayer 1,2025-08-02 11:26:41,2.0,DIFFUSION,DI-SATtt
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,491.0,179282,W 8STLCLN1,W P1278 STLT POST DEP CLN 1,2025-08-02 12:01:47,2.0,WET ETCH,WE-KSTwa
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,492.0,180594,L 8STLT1CH,L P1278 STLT 1 CARBON HARDMASK DEP,2025-08-02 12:19:39,2.0,LITHO,LI-TBEbc
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,493.0,181212,Z 8STLVRF1,Z P1278 STLT CHM VRFY WFR 1,2025-08-02 12:19:39,,PC,LSA-FE
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,494.0,207028,E*8STL1bil,E*P1278 Bilayer STLTOE1,2025-08-02 13:13:44,2.0,ETCH,DE-PAThm
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,495.0,179283,W*8STLTEC1,W*P1278 STLT REMOVAL ETCH 1,2025-08-02 13:43:29,2.0,WET ETCH,WE-NSTwn
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,496.0,238213,A-8STL1bl,A-P1278 STL1 recess NMT for NO,2025-08-02 14:02:00,2.0,ANALYTICAL,AN-NCD
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,497.0,215717,E 8APSTL1,E P1278 STLT APT ASH 1,2025-08-02 14:12:02,2.0,ETCH,DE-APTde
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,498.0,179851,W 8STLBSC1,W P1278 STLT BACKSIDE SWCL 1,2025-08-02 17:32:08,2.0,WET ETCH,WE-KSTsp
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,499.0,179284,W*8STLRE1,W*P1278 STLT REMOVAL CLN 1,2025-08-02 17:46:55,2.0,WET ETCH,WE-NSTwn
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,500.0,214155,M-8FTL S,M-P1278 FTL SCAN,2025-08-02 17:46:55,,METRO,DM-FTL
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,501.0,256934,M-8FTLOS,M-P1278 FTL OS SCAN,2025-08-02 17:46:55,,METRO,DM-FTL
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,502.0,146197,M-8SRC R,M-P1278 SRC REVIEW,2025-08-02 17:46:56,,METRO,DM-SRC6
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,503.0,211036,D*8STLGAB2,D*P1278 STLTOE GALEA dep Bilayer 2,2025-08-02 17:59:59,2.0,DIFFUSION,DI-SATtt
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,504.0,179285,W 8STLCLN2,W P1278 STLT POST DEP CLEAN 2,2025-08-02 18:42:21,2.0,WET ETCH,WE-KSTwa
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,505.0,251953,L 8STL2DLY,L P1278 STL2 Pre CHM Delay,2025-08-02 18:54:32,2.0,LITHO,LI-TBEbc-DLY
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,506.0,180595,L 8STLT2CH,L P1278 STLT 2 CARBON HARDMASK DEP,2025-08-02 19:03:10,2.0,LITHO,LI-TBEbc
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,507.0,181213,Z 8STLVRF2,Z P1278 STLT CHM VRFY WFR 2,2025-08-02 19:03:11,,PC,LSA-FE
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,508.0,207029,E*8STL2bil,E*P1278 Bilayer STLTOE2,2025-08-02 20:59:28,2.0,ETCH,DE-PAThm
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,509.0,179286,W*8STLTEC2,W*P1278 STLT REMOVAL ETCH 2,2025-08-02 21:15:39,2.0,WET ETCH,WE-NSTwn
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,510.0,262002,A-8STLgcs,A-P1278 STL rec G NMT LAT Cor-Si,2025-08-02 21:37:35,2.0,ANALYTICAL,AN-NCD
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,511.0,215718,E 8APSTL2,E P1278 STLT APT ASH 2,2025-08-02 21:52:33,2.0,ETCH,DE-APTde
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,512.0,179852,W 8STLBC2,W P1278 STL BACKSIDE SWCL 2,2025-08-02 22:12:36,2.0,WET ETCH,WE-KSTsp
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,513.0,179287,W*8STLRE2,W*P1278 STEEL TOE REMOVAL CLN 2,2025-08-02 22:27:59,2.0,WET ETCH,WE-NSTwn
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,514.0,214155,M-8FTL S,M-P1278 FTL SCAN,2025-08-02 22:27:59,,METRO,DM-FTL
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,515.0,256934,M-8FTLOS,M-P1278 FTL OS SCAN,2025-08-02 22:27:59,,METRO,DM-FTL
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,516.0,146197,M-8SRC R,M-P1278 SRC REVIEW,2025-08-02 22:27:59,,METRO,DM-SRC6
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,517.0,179302,D*8BL1GAL,D*P1278 BL1 SP1 ETCH GALEA LINER,2025-08-02 22:40:03,2.0,DIFFUSION,DI-SATtt
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,518.0,216292,W 8GALCLN1,W P1278 GAL POST DEP CLN 1,2025-08-02 23:02:19,2.0,WET ETCH,WE-KSTwa
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,519.0,189012,Z 8RNDIF25,Z P1278 RANDOMIZE IN FOUP 25,2025-08-02 23:05:48,2.0,PC,LSA-FE
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,520.0,248212,E*8SP1E3P0,E*P1278 SPACER ETCH R93P0 FOR APC,2025-08-03 01:14:15,2.0,ETCH,DE-MMEsq
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,521.0,215719,E 8ASP1E,E P1278 SP1E APT ASH,2025-08-03 01:23:08,2.0,ETCH,DE-APTde
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,522.0,179854,W*8BL1GRM,W*P1278 BL1 GALEA REM,2025-08-03 01:41:42,2.0,WET ETCH,WE-KSTwa
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,523.0,179275,W*8BL1CLN2,W*P1278 BL1 POST SPCR CLN2,2025-08-03 01:59:07,2.0,WET ETCH,WE-NSTwn
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,524.0,214155,M-8FTL S,M-P1278 FTL SCAN,2025-08-03 01:59:07,,METRO,DM-FTL
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,525.0,256934,M-8FTLOS,M-P1278 FTL OS SCAN,2025-08-03 01:59:07,,METRO,DM-FTL
Panther Lake G-1,Skip Scout BGLA #1,8PXMCVAG,8PXMCG,8PXMCV A G,A5289200,526.0,146197,M-8SRC R,M-P1278 SRC REVIEW,2025-08-03 01:59:07,,METRO,DM-SRC6
